ID,Title,Company,Link,Technologies
1,Senior Backend Engineer (Data Processing),Shelf,https://jobs.dou.ua/companies/shelf-io/vacancies/293087/?from=list_hot,"aws, azure, elastic, etl, great_expectations, metrics, nosql, postgresql, python, snowflake, sql"
2,Data Engineer (JustDone),Boosters,https://jobs.dou.ua/companies/boosters-product-team/vacancies/307444/?from=list_hot,"airflow, ci_cd, etl, gcp, postgresql, python"
3,R&D CV/ML Engineer (Drones — Miltech),A19Lab.com,https://jobs.dou.ua/companies/a19lab/vacancies/285535/?from=list_hot,python
4,Machine Learning/Deep Learning Engineer (Рекомендаційні ML/DL моделі),ROZETKA,https://jobs.dou.ua/companies/rozetka-ua-internet-supermarket/vacancies/266986/?from=list_hot,"clickhouse, docker, gcp, jupyter, kubernetes, python"
5,Sr. DevOps Engineer / Data Architect,Datagrok,https://jobs.dou.ua/companies/datagrok/vacancies/300724/,"aws, ci_cd, clickhouse, docker, gcp, kubernetes, metrics, python, snowflake, terraform"
6,Data/BI Engineer,Yalantis,https://jobs.dou.ua/companies/yalantis/vacancies/304669/,"airflow, apache_beam, azure, ci_cd, dbt, docker, etl, gcp, kubernetes, postgresql, python, sql"
7,Data Analyst,Peachy,https://jobs.dou.ua/companies/peachy/vacancies/308519/,"azure, dbt, etl, snowflake, sql"
8,Senior Data Engineer,Simulmedia,https://jobs.dou.ua/companies/simulmedia/vacancies/298823/,"aws, postgresql, python, rest_api, sql"
9,Middle Data Engineer,Simulmedia,https://jobs.dou.ua/companies/simulmedia/vacancies/298822/,"aws, postgresql, python, rest_api, sql"
10,Senior SQL Developer,Miratech,https://jobs.dou.ua/companies/miratech/vacancies/308416/,"azure, etl, sql"
11,Consultant Data Engineer (Python/Databricks),Softermii,https://jobs.dou.ua/companies/softermii/vacancies/308410/,"airflow, aws, azure, ci_cd, data_lake, delta_lake, etl, great_expectations, metrics, python, spark, sql"
12,Senior Data Engineer | Toshiba,Xenoss,https://jobs.dou.ua/companies/xenoss/vacancies/300131/,"azure, data_lake, delta_lake, nosql, postgresql, python, spark, sql, terraform"
13,Data Engineer — рушійна сила даних,Дія,https://jobs.dou.ua/companies/thedigital/vacancies/308301/,"airflow, apache_nifi, aws, azure, ci_cd, dbt, etl, flink, gcp, great_expectations, kafka, metrics, python, snowflake, spark, sql, talend"
14,Senior Data Engineer (Poland-based),White Label,https://jobs.dou.ua/companies/ffflabel/vacancies/308287/,"aws, etl, great_expectations, python, sql, terraform"
15,Data analyst/Power BI Engineer для проекту розвитку фінансування закладів охорони здоров’я,Національна служба здоров’я України,https://jobs.dou.ua/companies/nszu/vacancies/200157/,"postgresql, python, sql"
16,Data analyst / Business Analyst / BI Engineer,Національна служба здоров’я України,https://jobs.dou.ua/companies/nszu/vacancies/200191/,"airflow, ci_cd, data_lake, nosql, postgresql, sql"
17,Провідний фахівець з розробки та тестування програмного забезпечення,Національна служба здоров’я України,https://jobs.dou.ua/companies/nszu/vacancies/304201/,"etl, great_expectations, postgresql, python, sql"
18,Data Engineer,Boosta,https://jobs.dou.ua/companies/boosta/vacancies/308258/,"airflow, azure, ci_cd, dagster, dbt, docker, etl, gcp, great_expectations, metrics, python, sql"
19,Game Economy Designer,8K Games,https://jobs.dou.ua/companies/8k-games/vacancies/308224/,
20,Middle BI Developer,Group107,https://jobs.dou.ua/companies/group107/vacancies/308192/,"aws, etl, gcp, python, sql"
21,ML Computer Vision Engineer (machine learning engineer),Elai,https://jobs.dou.ua/companies/elai/vacancies/308167/,"docker, python"
22,Middle Data Engineer (Prom.ua),EVO,https://jobs.dou.ua/companies/evo/vacancies/308165/,"airflow, aws, azure, ci_cd, dagster, data_lake, delta_lake, docker, flink, gcp, hadoop, kafka, kinesis, kubernetes, presto, python, snowflake, spark, sql"
23,Senior Data Engineer (Python),SoftConstruct Ukraine,https://jobs.dou.ua/companies/softconstruct-ukraine/vacancies/308121/,"airflow, aws, docker, elastic, etl, gcp, graph, hadoop, kubernetes, metrics, nosql, postgresql, presto, python, rest_api, spark, sql, terraform"
24,Senior Data Engineer,Atlaslive,https://jobs.dou.ua/companies/atlas/vacancies/308115/,"aws, ci_cd, etl, great_expectations, kafka, kinesis, nosql, python, sql"
25,Middle Data Engineer,GR8 Tech,https://jobs.dou.ua/companies/gr8-tech/vacancies/308097/,"aws, azure, clickhouse, etl, flink, gcp, great_expectations, hadoop, kafka, kinesis, postgresql, presto, rest_api, spark, sql"
26,Data Engineer (AI),Heyra,https://jobs.dou.ua/companies/heyra/vacancies/308037/,"azure, docker, etl, kafka, kubernetes, sql"
27,Senior Data Engineer,Globaldev Group,https://jobs.dou.ua/companies/globaldevgroup/vacancies/297138/,"dbt, etl, snowflake, sql"
28,Senior Data Software Engineer,EPAM,https://jobs.dou.ua/companies/epam-systems/vacancies/307989/,"airflow, aws, azure, gcp, python"
29,Senior Data Engineer,MEV,https://jobs.dou.ua/companies/mev/vacancies/307982/,"aws, etl, postgresql, python, rest_api, snowflake, sql"
30,ML/NLP Engineer,OpenMinds,https://jobs.dou.ua/companies/open-minds-institute/vacancies/307964/,"gcp, python"
31,Technical Solutions Engineer for Data team (day shift),Sisense,https://jobs.dou.ua/companies/sisense/vacancies/307819/,"aws, ci_cd, docker, elastic, kubernetes, metrics, python, sql"
32,Blockchain Data Engineer (Senior/Lead) ID34521,AgileEngine,https://jobs.dou.ua/companies/agileengine/vacancies/304162/,"airflow, aws, azure, ci_cd, clickhouse, docker, etl, gcp, kafka, kubernetes, metrics, postgresql"
33,Senior Data Engineer (Python),Adaptiq,https://jobs.dou.ua/companies/adaptiq/vacancies/304217/,"airflow, aws, ci_cd, etl, great_expectations, metrics, python, spark, sql"
34,Senior Data Engineer (Cyprus),toogeza,https://jobs.dou.ua/companies/toogeza/vacancies/307784/,"airflow, aws, ci_cd, clickhouse, dbt, etl, flink, great_expectations, kafka, postgresql, python, sql"
35,Big Data Engineer,MGID,https://jobs.dou.ua/companies/mgid/vacancies/275805/,"clickhouse, docker, etl, hadoop, kafka, kubernetes, nosql, python, spark, sql"
36,Analytics Engineer (Looker),DMarket (acquired by Mythical Games),https://jobs.dou.ua/companies/mythicalgames/vacancies/302741/,"airflow, gcp, sql"
37,Middle Data Engineer,3Shape,https://jobs.dou.ua/companies/3shape-ukraine/vacancies/307751/,"azure, ci_cd, python, spark, terraform"
38,Розробник ETL SQL зі знанням Azure Data Factory,Cobit Solutions,https://jobs.dou.ua/companies/cobit-solutions/vacancies/292576/,"azure, etl, python, sql"
39,Розробник BI/Data Engineer Power BI,KERNEL,https://jobs.dou.ua/companies/kernel/vacancies/283539/,"azure, etl, python, sql"
40,Junior Embedded Engineer,Data Science UA,https://jobs.dou.ua/companies/data-science-ua/vacancies/307654/,python
41,Lead Backend Engineer — Map Data,Lyft,https://jobs.dou.ua/companies/lyft/vacancies/170298/,"aws, azure, gcp, metrics, python"
42,MS SQL DEVELOPER,Quipu,https://jobs.dou.ua/companies/quipu-gmbh/vacancies/299037/,"azure, etl, sql"
43,AI Engineer (Data Science),MWDN,https://jobs.dou.ua/companies/mwdn/vacancies/307576/,python
44,Розробник DWH,Ukrnafta,https://jobs.dou.ua/companies/ukrnafta/vacancies/307553/,"apache_nifi, aws, azure, etl, gcp, great_expectations, kafka, nosql, python, spark, spark_streaming, sql, talend"
45,Azure Data Engineer,HIRETOP,https://jobs.dou.ua/companies/hiretop/vacancies/307550/,"azure, ci_cd, data_lake, etl, great_expectations, metrics, python, spark, sql, terraform"
46,Data Engineer,Digicode,https://jobs.dou.ua/companies/digicode/vacancies/307502/,"etl, great_expectations, python, snowflake"
47,Data Engineer,Агенція Оборонних Закупівель,https://jobs.dou.ua/companies/agentsiya-oboronnih-zakupivel/vacancies/307489/,"airflow, dbt, etl, great_expectations, postgresql, python, sql"
48,Web developer,"ТОВ ""Квадро""",https://jobs.dou.ua/companies/tov-kvadro/vacancies/307408/,python
49,On-Site Data Center Engineer (London),KaaIoT Technologies,https://jobs.dou.ua/companies/kaaiot/vacancies/307333/,
50,Data Engineer (Fintech),Genesis,https://jobs.dou.ua/companies/genesis-technology-partners/vacancies/307308/,"airflow, aws, dbt, docker, etl, great_expectations, metrics, nosql, postgresql, python, sql"
51,Senior/Lead Data Integration Engineer,Competera,https://jobs.dou.ua/companies/competera/vacancies/289270/,"azure, etl, great_expectations, python, sql"
52,Senior Data Engineer (R&D team),Competera,https://jobs.dou.ua/companies/competera/vacancies/301426/,"airflow, azure, etl, gcp, great_expectations, kafka, python, spark, sql"
53,Senior Data Engineer,Avenga,https://jobs.dou.ua/companies/avenga/vacancies/307244/,"airflow, aws, dbt, etl, great_expectations, kubernetes, python, snowflake, sql"
54,Data Scientist/ML engineer (Prom.ua),EVO,https://jobs.dou.ua/companies/evo/vacancies/299164/,"ci_cd, docker, etl, jupyter, python, spark"
55,Middle/Senior Data Engineer,mono,https://jobs.dou.ua/companies/mono/vacancies/291590/,"clickhouse, etl, nosql, postgresql, sql"
56,Data Platform Engineer/SRE,TemaBit Fozzy Group,https://jobs.dou.ua/companies/fozzy/vacancies/307222/,"airflow, aws, azure, ci_cd, clickhouse, docker, elastic, hive, kafka, kubernetes, metrics, nosql, postgresql, python, spark, terraform"
57,Data Engineer,Laba Group,https://jobs.dou.ua/companies/laba/vacancies/303452/,"aws, azure, etl, gcp, postgresql, sql"
58,Senior/Tech Lead Data Engineer,Quantum,https://jobs.dou.ua/companies/quantum/vacancies/307177/,"aws, data_lake, etl, nosql, python, spark, sql"
59,Data Scientist / Machine Learning Engineer,Ralabs,https://jobs.dou.ua/companies/ralabs/vacancies/307163/,"airflow, etl, postgresql, python, sql"
60,Middle Data Engineer,JATAPP,https://jobs.dou.ua/companies/jatapp/vacancies/307092/,"airflow, aws, ci_cd, docker, etl, kinesis, python, sql"
61,Senior Data Engineer,Intellias,https://jobs.dou.ua/companies/intellias/vacancies/307082/,"azure, dbt, etl, kafka, python, snowflake, sql, terraform"
62,Data Engineer (Fintech project),Boosta,https://jobs.dou.ua/companies/boosta/vacancies/307056/,"airbyte, airflow, aws, azure, clickhouse, dbt, etl, postgresql, python, sql"
63,Trainee Machine Learning Engineer,LITSLINK,https://jobs.dou.ua/companies/litslink/vacancies/303451/,python
64,Data Engineer (Databricks),Sphere Partners,https://jobs.dou.ua/companies/sphere-consulting/vacancies/288492/,"aws, azure, etl, nosql, postgresql, python"
65,Senior Data Engineer (SaaS; USA),InventorSoft,https://jobs.dou.ua/companies/inventorsoft/vacancies/306917/,"airflow, aws, dagster, python, spark, sql"
66,Data Engineer,Giti//c,https://jobs.dou.ua/companies/giti2c/vacancies/298284/,"aws, azure, etl, python, sql"
67,Lead Data Engineer,Gamingtec,https://jobs.dou.ua/companies/gamingtec/vacancies/306893/,"airflow, aws, azure, ci_cd, dbt, etl, great_expectations, kafka, kinesis, metrics, python, sql"
68,Data Engineer,OBRIO,https://jobs.dou.ua/companies/obrio/vacancies/288079/,"airflow, aws, data_mesh, etl, great_expectations, postgresql, python, rest_api, spark, sql"
69,Data Engineer (Lviv),VisiQuate,https://jobs.dou.ua/companies/visiquate/vacancies/302610/,"airflow, azure, ci_cd, etl, postgresql, python, snowflake, sql"
70,Python Data Engineer for AI,IT SmartFlex,https://jobs.dou.ua/companies/it-smartflex/vacancies/290153/,"azure, etl, nosql, postgresql, python, rest_api, sql"
71,Middle ML Engineer ( NLP Expertise ),LITSLINK,https://jobs.dou.ua/companies/litslink/vacancies/306731/,python
72,Data Operations Engineer (AWS Bedrock and SageMaker Focus),Monster Lead Group,https://jobs.dou.ua/companies/monster-lead-group/vacancies/306692/,"aws, ci_cd, data_lake, docker, etl, great_expectations, kubernetes, metrics, python, snowflake, terraform"
73,Data analyst (AdTech),Holding House,https://jobs.dou.ua/companies/holding-house/vacancies/283454/,"azure, etl, python, sql"
74,Senior AI Research Engineer,WiX,https://jobs.dou.ua/companies/wix/vacancies/281902/,"aws, azure, gcp, python"
75,Data Scientist / ML engineer (only Poland),Xenoss,https://jobs.dou.ua/companies/xenoss/vacancies/306604/,"azure, data_lake, etl, jupyter, python, spark, sql"
76,Senior/Lead Business Intelligence Engineer (part-time),WiserBrand,https://jobs.dou.ua/companies/wiserbrand/vacancies/306601/,"apache_nifi, aws, azure, etl, gcp, python, sql"
77,Senior Data Engineer,ПриватБанк,https://jobs.dou.ua/companies/privatbank/vacancies/306559/,"aws, etl, sql"
78,Інженер з експлуатації (ремонт та обслуговування оптичних модулів),Athlon Avia,https://jobs.dou.ua/companies/athlon-avia-unmanned-solutions/vacancies/297286/,python
79,Senior Analytic Engineer,VBET GROUP,https://jobs.dou.ua/companies/vbet-group/vacancies/306482/,"airflow, azure, dbt, etl, great_expectations, python, sql"
80,"Data Engineer (Outsourcing, Multi-Client Projects)",NoviCore,https://jobs.dou.ua/companies/novicore/vacancies/306449/,"apache_beam, aws, azure, ci_cd, dagster, dbt, docker, etl, gcp, great_expectations, kafka, kinesis, python, snowflake, spark, sql, terraform"
81,Senior/Lead Data Science/ML Engineer with AI experience,Grid Dynamics,https://jobs.dou.ua/companies/grid-dynamics/vacancies/306419/,
82,Senior Software Engineer (FinTech & Algorithms),Intela,https://jobs.dou.ua/companies/integrated-technology-laboratory-llc/vacancies/306403/,"azure, metrics, python"
83,Software Engineer — Data Engineering,Intela,https://jobs.dou.ua/companies/integrated-technology-laboratory-llc/vacancies/306393/,"clickhouse, etl, kafka, kubernetes, metrics, nosql, snowflake, sql"
84,Data Engineer,Brainstack,https://jobs.dou.ua/companies/brainstack/vacancies/306384/,"airflow, aws, data_lake, docker, etl, hadoop, kafka, kinesis, nosql, python, spark, sql"
85,Senior LLM / Gen AI Engineer,Zoral,https://jobs.dou.ua/companies/zoral/vacancies/283865/,"aws, azure, gcp, python"
86,Senior Data Engineer (AI and ML frameworks),Sigma Software,https://jobs.dou.ua/companies/sigma-software/vacancies/306243/,"azure, flink, gcp, graph, great_expectations, kafka, kubernetes, nosql, python, sql"
87,Data Infrastructure Engineer ID35383,AgileEngine,https://jobs.dou.ua/companies/agileengine/vacancies/306231/,"airflow, aws, azure, dbt, docker, etl, kafka, kubernetes, nosql, postgresql, python, snowflake, spark, sql, terraform"
88,Senior Data Analytics Engineer,Acropolium,https://jobs.dou.ua/companies/acropolium/vacancies/302193/,"aws, etl, gcp, postgresql, python, snowflake, sql"
89,Software Data Engineer,Burny Games,https://jobs.dou.ua/companies/burny-games/vacancies/300246/,"apache_beam, aws, azure, clickhouse, data_lake, delta_lake, flink, kafka, kubernetes, nosql, python, spark"
90,Lead Big Data Engineer (Java/Scala),GR8 Tech,https://jobs.dou.ua/companies/gr8-tech/vacancies/306161/,"azure, ci_cd, flink, great_expectations, kafka, python"
91,Big Data Engineer (Java/Scala),GR8 Tech,https://jobs.dou.ua/companies/gr8-tech/vacancies/306154/,"azure, docker, etl, flink, great_expectations, kafka, kubernetes, spark, sql"
92,Strong Junior/Middle Data Engineer,ПриватБанк,https://jobs.dou.ua/companies/privatbank/vacancies/306119/,"airflow, aws, azure, etl, gcp, nosql, postgresql, python, rest_api, sql"
93,Technical Lead/Architect — Data Engineering & Analytics (#2900),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/298307/,"azure, data_lake, data_mesh, snowflake"
94,Data Architect (#3437),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/258420/,"azure, data_lake, data_mesh, snowflake, sql"
95,Middle/Senior Data AQA Engineer (#3042),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/258401/,"ci_cd, etl, great_expectations, python, spark, sql"
96,Middle/Senior Data Engineer (Azure) (#3078),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/258397/,"azure, etl, great_expectations, python, sql, talend"
97,Senior Data Scientist (#3285),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/261521/,"aws, azure, gcp, python"
98,Senior Data Engineer (#3415),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/280876/,"airflow, aws, ci_cd, dbt, etl, great_expectations, kubernetes, python, snowflake, sql, terraform"
99,Senior Data Engineer,NerdySoft,https://jobs.dou.ua/companies/nerdysoft/vacancies/301841/,"aws, azure, etl, gcp, great_expectations, python, snowflake, sql"
100,Senior Data Engineer,MODUS X,https://jobs.dou.ua/companies/modus-x/vacancies/301870/,"aws, azure, ci_cd, etl, nosql, postgresql, spark, sql"
101,Data Engineer,Мрія,https://jobs.dou.ua/companies/mriia/vacancies/305915/,"ci_cd, etl, gcp, graph, great_expectations, metrics, python, sql"
102,Data Engineer,Vira Games,https://jobs.dou.ua/companies/vira-games/vacancies/305859/,"airflow, aws, ci_cd, data_lake, data_mesh, dbt, docker, etl, great_expectations, postgresql, sql"
103,Senior Data Engineer (US timezone),vilmate,https://jobs.dou.ua/companies/vilmate/vacancies/305857/,"airflow, aws, dbt, docker, etl, python, sql"
104,Senior Data Engineer,Intellectsoft,https://jobs.dou.ua/companies/intellectsoft/vacancies/305855/,"airflow, data_lake, dbt, delta_lake, etl, flink, great_expectations, kafka, python, spark, sql"
105,Computer Vision Engineer,SQUAD,https://jobs.dou.ua/companies/squad/vacancies/297659/,"docker, hadoop, kubernetes, nosql, sql"
106,Data Engineer,Binary Studio,https://jobs.dou.ua/companies/binary-studio/vacancies/305811/,"aws, azure, data_lake, elastic, etl, kafka, metrics, python, snowflake, spark, sql"
107,"Middle Data Support Engineer (Python, SQL) (#3385)",N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/298034/,"aws, azure, data_lake, etl, python, snowflake, sql"
108,Data Engineer (with Databricks) (#3204),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/293631/,"azure, docker, etl, great_expectations, python, snowflake, sql"
109,Senior/Lead Data Engineer (#3239),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/293636/,"aws, ci_cd, docker, elastic, etl, flink, great_expectations, hive, presto, python, spark, terraform"
110,Data Engineer (Junior/Middle),Solidgate,https://jobs.dou.ua/companies/solidgate/vacancies/247187/,"airflow, aws, dbt, docker, etl, great_expectations, metrics, nosql, postgresql, python, sql"
111,Data Engineer,Data Science UA,https://jobs.dou.ua/companies/data-science-ua/vacancies/295131/,"airflow, dbt, etl, great_expectations, python, sql"
112,Senior Data Engineer,Softsich,https://jobs.dou.ua/companies/softsich/vacancies/290638/,"aws, etl, great_expectations, kafka, nosql, postgresql, python, sql"
113,Senior Data Engineer,inVerita,https://jobs.dou.ua/companies/inveritasoft/vacancies/305717/,"aws, azure, dbt, etl, python, snowflake"
114,Lead Data Engineer,Edvantis,https://jobs.dou.ua/companies/edvantis/vacancies/305617/,"azure, etl, snowflake"
115,Data Engineer,LetyShops,https://jobs.dou.ua/companies/letyshops/vacancies/270376/,"airflow, dbt, docker, etl, gcp, kafka, kubernetes, python, sql, terraform"
116,Інженер-технолог,Athlon Avia,https://jobs.dou.ua/companies/athlon-avia-unmanned-solutions/vacancies/283376/,python
117,Data Engineer,Growe,https://jobs.dou.ua/companies/growe/vacancies/301657/,"airflow, aws, data_lake, dbt, etl, metrics, python, sql, terraform"
118,Data Engineer,Web Legends,https://jobs.dou.ua/companies/web-legends/vacancies/305524/,"aws, azure, ci_cd, etl, gcp, nosql, postgresql, python, sql"
119,Middle Software Developer (Data Integration/Data Engineer),LeanyLabs,https://jobs.dou.ua/companies/leanylabs/vacancies/295861/,"azure, etl, sql"
120,Big Data Engineer,IT SmartFlex,https://jobs.dou.ua/companies/it-smartflex/vacancies/250643/,"etl, hadoop, nosql, python, spark, sql"
121,Apache NiFi Developer,WiserBrand,https://jobs.dou.ua/companies/wiserbrand/vacancies/305404/,"apache_nifi, aws, azure, docker, etl, gcp, kubernetes, metrics, python"
122,ETL Developer,UKRSIBTECH,https://jobs.dou.ua/companies/ukrsibbank/vacancies/264292/,"etl, sql"
123,Technical Lead DataPython Engineer (#2328),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/293067/,"airflow, aws, azure, ci_cd, dbt, etl, gcp, postgresql, python, sql, terraform"
124,Data Engineer (Python/Databricks),Softermii,https://jobs.dou.ua/companies/softermii/vacancies/305245/,"airflow, aws, azure, ci_cd, data_lake, delta_lake, etl, great_expectations, metrics, python, spark, sql"
125,Data Engineer,Ajax Systems,https://jobs.dou.ua/companies/ajax-systems/vacancies/305217/,"aws, elastic, etl, nosql, postgresql, python, sql"
126,Data Operations Analyst (#3413),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/252153/,"azure, great_expectations, python, sql"
127,Senior Data QA Engineer (#3238),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/249488/,"aws, ci_cd, etl, gcp, great_expectations, kafka, postgresql, python, snowflake, sql"
128,Тестувальник якості даних data-продукту (Data Quality Engineer),Державна служба статистики України,https://jobs.dou.ua/companies/ukrstat/vacancies/296906/,"etl, great_expectations, jupyter, python, sql"
